Word,Origin,Definition (rough),Not too sure,,Need to find lang,Key,Language
toubib,aa,doctor,,,,aa,algerian arabic
clebs,aa,dog,,,,de,german
kitsch,de,tacky,,,,en,english
boss,en,boss,,,,rm,romani
michto,rm,gold digger,,,,ma ,moroccan arabic
wesh,aa,yo,,,t,drc,democratic republic of the congo
kif,ma,cool,,,t,ic,ivory coast
go,bb,girl/girlfriend (also japanese board game),,,t,sey,seychelles
merci mingi,drc,thanks a lot,,,t,cr,cameroon
baybay,sey,good bye,,,t,ch,switzerland
Être calé,ic,to be chilling,,,t,bg,belgium
plug,ve,drug dealer,,,t,sg,senegal
je wanda,cr,I wonder,,,t,ml,mali
weed,en ,marijuana,,,t,mrt,mauritius
Dallasser,sg,to show off,,,t,frg,french guiana
oklendo,ml,ok,,,,occ,occitan
mari sa,mrt,wow,,,,mga,maghrebi arabic
djal,frg,girlfriend/boyfriend,,,,ar,arabic (default)
bagnole,occ,car,,,,ve,aave (united states)
caoua,mga,coffee,,,,pr,persian
fissa,ar,to do something quickly,,,,mxs,mexican spanish
lover,en,emotional man,t,,,es,spanish
zbool,aa,a racket (noise),,,,it,italian
ass,en,butt,,,,esa,nahuatl (aztec) to spanish
bando,ve,trap house,,,,esq,quechua (inca) to spanish
beef,ve,conflict,,,,ear,egyptian arabic
bitch,en,bitch,,,,est,spanish coming from taino
bro,en,bro,,,,ant,antillean creole
cap,ve,not true,,,,bb,berber languages
crib,ve,house,,,,tr,turkish
dab,ve,dance move,,,,jp,japanese
finna,ve,about to,,,,cnc,chinese (cantonese)
fuck,en,fuck,,,,cnm,chinese (mandarin)
gang,ve,group of ppl or gang,,,,cnh,chinese (hokkien)
gyatt,ve,butt but also god (as in gyatt damn),,,,ru,russian
hood,ve,the neighborhood,,,,sc,serbo-croatian
jit,ve,person,,,,pl,polish
nigga,ve,"sometimes derogatory, but also sometimes like ""bro""",,,,slv,slavic (broad group)
fleek,ve,"nice, esp w ""on""",,,,kr,korean
pimp,ve,prostitute escort,,,,hb,hebrew
ho,ve,whore,,,,hin,hindi
shawty,ve,woman of interest,,,,hs,hindustani
skrrt,ve,tires slipping,,,,tno,taino
swag,en,"confidence, swagger",,,,msh,marshallese
rizz,ve,charisma,,,,pmd,portuguese from malay from dravidan language
thug,ve,gangster,,,,htc,hatian creole
trap,ve,"mouth, drug, music",,,,jmc,jamaican creole
wap,ve,wet ass pussy,,,,ktb,kituba
pussy,en,vagina,,,,snt,sranan tongo
yo,ve,greeting/exclamation,,,,tml,tamil
hashish,ar,powdered hemp leaves,,,,gld,greelandic
baroud,ar,raid,,,,int,inuktitut
bezef,ar,much/many,,,,eni,english from irish
boujee,ve,bourgeoise,,,,ens,english from scots gaelic
bled,ar,place/town of origin,,,,ald,alemmanic german
bougie,ar,candle,,,,yd,yiddish
cafard,ar,cockroach,,,,afk,afrikaans
caïd,ar,chief of a mob/tiger,,,,nl,dutch
calife,ar,caliph,,,,gr,greek
carmin,ar,carmine,,,,crs,corsican
carvi,ar,caraway,,,,ctn,catalan
chouïa,ar,a little,,,,vcn,valencian
flouze,ar,money,,,,vnt,venetian
hammam,ar,bathroom,,,,pt,portuguese
harem,ar,sacred area,,,,wlf,wolof
henné,ar,henna,,,,lga,lingala
laiton,ar,brass,,,,swh,swahili
lascar,pr,soldier,,,,zl,zulu
maboule,ar,crazy/mad,,,,bb,bambara
marabout,ar,marabout (north african),,,,dha,dharug
matraque,ar,truncheon,,,,qch,quechuan
récif,ar,reef,,,,tbt,tibetan
nouba,ar,party,,,,trk,turkish
salamalec,ar,short for salam alaikum,,,,fn,finnish
smala,ar,posse/family/entourage,,,,mg,hungarian
souk,ar,mess/chaos or market dep context,,,,bsq,basque
timbale,ar,"kettledrum, cup",,,,,
allah,ar,god,,,,,
wallah,ar,I swear to god,,,,,
mashallah,ar,what god has willled!,,,,,
inshallah,ar,god willing,,,,,
hamdullilah,ar,"(short for alhamdulillah), thank god",,,,,
haram,ar,prohibited/forbidden,,,,,
habibi,ar,my dear,,,,,
salam,ar,hello/peace,,,,,
khalas,ar,enough/finished,,,,,
jihad,ar,holy war (islam),,,,,
bitch-ass,ve,"weak, cowardly",,,,,
crash,en,crash,,,,,
kush,ve,high quality marijuana (borrowed from Hindu Kush Persian),,,,,
marijuana,mxs,marijuana,,,,,
og,ve,original gangster,,,,,
gangster,en,gangster,,,,,
gangsta,ve,gangster pronounced differently,,,,,
lean,ve,(in specific context) drug with codeine-laced cough syrup,,,,,
rap,en,genre of music of these songs,,,,,
hip hop,en,same genre of music,,,,,
beat,en,beat,,,,,
flow,en,ability to skillfully rap along beat,,,,,
sizzurp,ve,other term for lean,,,,,
accréditer,es,to accredit,,,,,
altesse,"es,it",highness,,,,,
amor,es,love,,,,,
amore,it,love,,,,,
appartement,"es,it",apartment,,,,,
armada,es,fleet of warships,,,,,
arobase,es,"first weight unit, now @ sign",,,,,
avocat,es,lawyer,,,,,
basta,it,that's it,,,,,
cacahuète,esa,peanut,,,,,
cacao,esa,cocoa,,,,,
caïman,es,alligator (or similar to this),,,,,
camarade,es,buddy/comrade,,,,,
canari,es,bird/resident from canary islands,,,,,
cannibale,es,cannibal,,,,,
canoë,es,canoe,,,,,
canyon,es,canyon,,,,,
caoutchouc,esq,rubber,,,,,
caracole,es,equestrian half turn/prance,,,,,
caramel,es,caramel/fudge,,,,,
carapace,es,shell,,,,,
case,es,box,,,,,
casque,es,helmet/headphones,,,,,
chicha,ear,hookah pipe,,,,,
chocolat,es,chocolate,,,,,
cigare,es,cigar,,,,,
coca,esq,"cocaine, cola",,,,,
coco,es,"coco nuts, cocaine",,,,,
conquistador,es,conquistador,,,,,
cordinnier,es,shoemaker,,,,,
corrida,es,bullfight,,,,,
créole,es,creole,,,,,
homie,ve,"friend, homeboy",,,,,
homeboy,ve,"friend, gang member",,,,,
dope,ve,"drugs, awesome",,,,,
bust down,ve,"easy woman to get, emphasizing quality of goods",,,,,
débarrasser,es,to take something away/off,,,,,
désinvolte,es,overly casual,,,,,
dulcinée,es,beautiful woman (poetic),,,,,
fanfaron,es,boaster,,,,,
fiesta,es,party,,,,,
starfoullah,ar,muslim prayer to ask for forgiveness,,,,,
allahu akbar,ar,god is great in arabic,,,,,
gamba,es,large prawn,,,,,
gamelle,es,tin (ish) food bowl,,,,,
gaspacho,es,gazpacho (cold soup),,,,,
gaucho,es,argentine cowboy,,,,,
gitan,es,gypsy,,,,,
guapo,es,handsome,,,,,
bella,es,beautiful,,,,,
chica,es,girl,,,,,
chico,es,boy,,,,,
guérilla,es,guerrilla war,,,,,
guitare,es,guitar,,,,,
hamac,est,hammock,,,,,
igo,es,end of amigo,,,,,
machette,es,machete,,,,,
macho,es,very masculine,,,,,
manille,es,manille card game,,,,,
marron,es,wild/crooked/brown,,,,,
maté,esq,NOUN south american tea,,,,,
mater,es,VERB to check out/also to chekcmate,,,,,
mezcal,esa,mescal,,,,,
mirador,es,viewpoint/watchtower,,,,,
mostique,es,mosquito,,,,,
mulâtre,es,mulatto,,,,,
nègre,es,negro (dated and offensive),,,,,
négro,es,the n word,,,,,
palabre,es,discussion,,,,,
pastille,es,pastilles (medicinal/candy),,,,,
patate,est,(sweet) potato but actually a lot of things,,,,,
peccadille,es,small sin/error,,,,,
pépite,es,nugget/gem/treasure,,,,,
pirogue,es,skinny canoe,,,,,
platine,es,platinum,,,,,
puta,es,bitch/whore/slut,,,,,
raton,es,rat/racoon/slur for algerian/arab,,,,,
résille,es,hairnet,,,,,
rumba,es,rumba (dance),,,,,
savane,est,savanna,,,,,
sieste,es,nap/siesta,,,,,
tabac,es,tabacco,,,,,
tanga,es,thong/g-string,,,,,
tequila,es,tequila (drink),,,,,
toréador,es,toreador (bullfighting),,,,,
vanille,es,vanilla (also meaning normal/undaring),,,,,
ale,en,ale,,,,,
bad,en,bad plus connotations,,,,,
girl,en,girl plus connotations,,,,,
boy,en,boy plus connotations,,,,,
bro,en,bro,,,,,
dude,en,dude,,,,,
best,en,best,,,,,
book,en,book but also to schedule,,,,,
boom,en,boom,,,,,
smurf,en,breakdance,,,,,
break,en,break,,,,,
chips,en,chips,,,,,
clown,en,clown or person acting funny,,,,,
dance,en,dance,,,,,
party,en,party,,,,,
jersey,en,jersey,,,,,
muerte,es,death,,,,,
dahak,ar,to laugh,,,,,
yeah,en,yeah,,,,,
slang,en,slang,,,,,
game,en,game,,,,,
motherfuck,en,motherfucker,,,,,
coke,en,cocaine,,,,,
rappeur,en,rapper,,,,,
hey,en,hey,,,,,
khey,ar,brother/bro/dude,,,,,
hip-hop,ve,hip-hop,,,,,
coochie,en,vagina (slang),,,,,
ex,en,former,,,,,
night,en,night,,,,,
bag,en,bag/money/stuff with drugs,,,,,
hippie,en,hippie,,,,,
high,en,high physically or on drugs,,,,,
hess,ar,difficult situation,,,,,
baby,en,baby (usually affectionate),,,,,
boof,en,"drugs, sometimes sex",,,,,
down bad,ve,"bad situation, attracted w/o dignity",,,,,
doudou,ant,sweetheart,,,,,
latex,en,material but usually in context condom,,,,,
rajel,ar,men (macho),,,,,
hi,en,hello (casual),,,,,
check,en,check (money or checking for stuff),,,,,
schnek,de,pussy/slut,,,,,
poucave,rm,snitch,,,,,
lady,en,lady,,,,,
ladies,en,ladies,,,,,
belek,ar,watch out,,,,,
film,en,film,,,,,
gun,en,gun,,,,,
gas,en,gas/drugs/awesome,,,,,
gasolina,es,gas/cum,,,,,
cheese,en,money/cheese (food),,,,,
slay,ve,stunning,,,,,
ramdam,ar,fuss/racket,,,,,
niquer,aa,to fuck/deceive,,,,,
teh,bb,joint,,,,,
zob,ar,penis,,,,,
glaoui,ma,testicle,,,,,
miskine,ar,poor thing,,,,,
kebab,tr,kebab,,,,,
hlel,ar,someone good/virtuous,,,,,
chouf,ar,look (draw attention),,,,,
dojo,jp,dojo,,,,,
emoji,jp,emoji,,,,,
geisha,jp,geisha,,,,,
judoka,jp,judoka,,,,,
kamikaze,jp,suicide bombing,,,,,
karaoké ,jp,karaoke,,,,,
karaté,jp,karate,,,,,
katana,jp,japanese sword,,,,,
manga,jp,manga,,,,,
saké,jp,japanese rice liqour,,,,,
samouraï,jp,samurai,,,,,
sensei,jp,martial arts instructor,,,,,
tsunami,jp,tsunami,,,,,
yakuza,jp,yakuza,,,,,
yen,jp,yen (currency),,,,,
chop chop,cnc,hurry up,,,,,
kung fu,cnc,kung fu,,,,,
nunchuck,cnh,nunchuck,,,,,
shaolin,cnm,shaolin (monk),,,,,
sifu,cnc,master,,,,,
thé,cnh,tea,,,,,
wok,cnc,wok,,,,,
wock,ve,lean (drink),,,,,
yin,cnm,feminine/dark. Used with yang,,,,,
yang,cnm,masculine/bright. Used with yin,,,,,
zen,jp,zen,,,,,
judo,jp,judo,,,,,
ninja,jp,ninja,,,,,
cosmonaute,ru,cosmonaut,,,,,
défaitiste,ru,defeatist,,,,,
