Word,Origin,Definition (rough),Semantic Cluster,N,V,Adj,Adv,Interject
toubib,aa,doctor,2,c,,,,
clebs,aa,dog,6,c,,,,
kitsch,de,tacky,8,c,,c,,
boss,en,boss,2,c,c,,,
michto,rm,gold digger,1,c,,,,
wesh,aa,yo,8,,,,,c
kiff,ma,cool,8,c,,,,
go,bb,girl/girlfriend (also japanese board game),1,c,,,,
merci mingi,ofs,thanks a lot,8,,,,,c
baybay,ofs,good bye,8,,,,,c
être calé,ofs,to be chilling,8,,c,,,
plug,ve,drug dealer,3,c,,,,
je wanda,ofs,I wonder,8,,,,,
weed,en,marijuana,3,c,,,,
dallasser,ofs,to show off,9,,c,,,
oklendo,ofs,ok,8,,,,,c
mari sa,ofs,wow,8,,,,,c
djal,ofs,girlfriend/boyfriend,2,c,,,,
hola,es,hello/also spectator wave at sporting event,8,,,,,c
caoua,mga,coffee,3,c,,,,
fissa,ar,to do something quickly,8,,,,,c
lover,en,emotional man,1,c,,,,
zbeul,aa,a racket (noise),6,c,,,,
ass,en,butt,7,c,,,,
bando,ve,trap house,3,c,,,,
beef,ve,conflict,6,c,,,,
bitch,en,bitch,1,c,,,,c
bro,en,bro,8,c,,,,c
cap,ve,not true,8,,,,,c
crib,ve,house,5,c,,,,
dab,ve,dance move,10,c,,,,
finna,ve,about to,9,,c,,,
fuck,en,fuck,8,c,c,,,c
gang,ve,group of ppl or gang,6,c,,,,c
gyatt,ve,butt but also god (as in gyatt damn),7,c,,,,
hood,ve,the neighborhood,6,c,,,,
jit,ve,person,8,c,,,,
nigga,ve,"sometimes derogatory, but also sometimes like ""bro""",1,c,,,,c
fleek,ve,"nice, esp w ""on""",8,c,,,,c
pimp,ve,prostitute escort,2,c,,,,
ho,ve,whore,7,c,,,,
shawty,ve,woman of interest,1,c,,,,
skrrt,ve,tires slipping,8,,,,,c
swag,en,"confidence, swagger",8,c,,c,,c
rizz,ve,charisma,8,c,,,,c
thug,ve,gangster,6,c,,c,,c
trap,ve,"mouth, drug, music",3,c,,,,
wap,ve,wet ass pussy,7,c,,,,
pussy,en,vagina,7,c,,,,c
yo,ve,greeting/exclamation,8,,,,,c
hashish,ar,powdered hemp leaves,3,c,,,,
baroud,ar,raid,6,c,,,,
bezef,ar,much/many,8,,,,c,
