word_length,language_afroasiatic,language_native_american,language_creoles,language_indo_european,language_east_asian,language_niger_congo,semcat_1,semcat_2,semcat_3,semcat_4,semcat_5,semcat_6,semcat_7,semcat_8,semcat_9,semcat_10,pos_noun,pos_verb,pos_adj,pos_adv,pos_int,result_count,result_songs,result_artists
6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13,10,14
7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,4
5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16,13,13
4,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,573,263,220
5,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,23,21,27
6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,2,3
4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,521,270,225
7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,7,4,5
6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,76,25,30
7,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,47,28,35
4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1029,465,288
4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,116,75,74
6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,85,67,71
7,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,12,10,13
7,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,68,55,75
5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,160,96,101
2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1639,681,402
3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62,51,56
3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,245,91,96
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46,32,34
8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,26,13,31
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,10,16
10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,2,3
4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,90,60,58
7,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,5,5,9
5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,29,17,21
8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,2
4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,408,226,180
6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,6,8
4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,93,51,68
5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,35,22,26
5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,19,35
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,4,15
5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1147,391,281
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1384,430,310
9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,18,9,11
6,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,88,30,37
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,3,4
10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19,5,9
7,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,39,13,20
8,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,14,9,11
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,345,59,67
9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,25,15,25
5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,41,19,24
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,85,40,58
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24,18,17
5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,4,7
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,66,47,65
4,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,39,22,34
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,114,59,64
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,31,13,16
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,85,40,52
4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,54,24,24
6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,57,38,38
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,26,10,12
6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,32,15,22
5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,16,3,6
6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,39,22,32
5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,96,64,73
5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,12,17
4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,208,102,85
5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,78,30,39
3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,66,44,51
4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,25,20,19
6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,2,4
5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,102,34,36
5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,595,235,191
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,6,8
4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,31,22,30
7,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,14,14,16
8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,13,10
5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,40,35,40
6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13,11,14
5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2056,855,357
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,43,31,30
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2
7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,322,146,145
8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,24,16,21
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,7,8
5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,73,32,46
6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,44,10,19
7,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,35,13,17
5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,26,20,25
5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,8,6,8
7,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,11,8,14
5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,12,9,12
5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,7,8
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,33,8,16
5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,15,5,10
5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,235,128,134
5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,13,11,16
5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,93,34,58
7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,31,21,32
